,hostel_name,city,distance_center_km,average_rating,number_reviews,price_usd
1172,Finisterre Hostel,La-Pedrera,2 fr,0.0,0,15.00
1173,MedioMundo Hostel,Montevideo,1.3,9.6,446,9.63
1174,Viajero Montevideo Hostel,Montevideo,2.8,9.2,2695,14.00
1175,Che Lagarto Hostel Montevideo,Montevideo,0.7,8.7,425,12.80
1176,Destino26,Montevideo,1.8,9.1,442,13.00
1177,Hostel Charruas,Montevideo,0.8,9.6,107,15.00
1178,Students Hostel,Montevideo,2.1,8.6,78,15.64
1179,Circus Hostel Montevideo,Montevideo,3.8,7.6,184,12.60
1180,Blanes Hostel,Montevideo,1 fr,5.7,152,6.73
1181,Montevideo Chic Hostel,Montevideo,3.7,0.0,31,15.00
1182,Hostel de los Colores,Piriapolis,0.9,6.9,52,18.00
1183,Mar de Fondo Hostel,Punta-del-Diablo,6.7,9.2,272,13.00
1184,Compay Hostel Punta del Diablo,Punta-del-Diablo,6.7,9.1,75,15.00
1185,Casa Carabanchel & Centro Cultural,Punta-del-Diablo,6.1,0.0,0,7.93
1186,The Trip Hostel,Punta-del-Este,1.8,9.0,879,10.00
1187,F&F Hostel,Punta-del-Este,2.5,9.5,683,18.00
1188,B&B Punta Hostel,Punta-del-Este,1.8,8.6,84,10.00
1189,TAS D VIAJE SUITES - HOSTEL BOUTIQUE,Punta-del-Este,1 fr,9.1,823,11.90
1190,Del Barcito Hostel and Suites,Punta-del-Este,2.7,6.3,29,12.00
1191,Viajero Punta del Este Hostel,Punta-del-Este,2 fr,8.4,1325,11.00
1192,Negrita Hostel,Punta-del-Este,9.9,6.0,204,21.00
1193,"Casa Alevines Playa El Emir, Hostel & Suites",Punta-del-Este,1.1,9.1,93,20.70
1194,La Quinta Hostel & Bar,Punta-del-Este,9.9,0.0,0,18.00
1195,Hostel 32,Punta-del-Este,2.6,8.9,105,17.50
1196,Selina Punta del Este,Punta-del-Este,0.2,0.0,0,18.40
1197,Candy Hostel,Punta-del-Este,10.5,0.0,3,25.00
1198,Planet Punta del este Hostel,Punta-del-Este,1.2,8.3,59,11.00
